Timestamp	Longitude	Latitude	Speed	Operatorname	Operator	CGI	Cellname	Node	CellID	LAC	NetworkTech	NetworkMode	Level	Qual	SNR	CQI	LTERSSI	DL_bitrate	UL_bitrate	PSC	Altitude	Height	Accuracy	Location	NLAC1	NCellid1	NRxLev1	NLAC2	NCellid2	NRxLev2	NLAC3	NCellid3	NRxLev3	NLAC4	NCellid4	NRxLev4	NLAC5	NCellid5	NRxLev5	NLAC6	NCellid6	NRxLev6	State	PINGAVG	PINGMIN	PINGMAX	PINGSTDEV	PINGLOSS	TESTDOWNLINK	TESTUPLINK	TESTDOWNLINKMAX	TESTUPLINKMAX	Test_Status	DataConnection_Type	DataConnection_Info	Layer	Filemark
2017.05.05_13.01.18	138.97876	35.959856	0	NTT_DOCOMO	44010	440100424200001		146982	1	4242	4G	LTE	-113	-8	11.6	-	-81	1	1	113	366	366	13	G																			I											M	13	1	
2017.05.05_13.01.18	138.97884	35.959887	7	NTT_DOCOMO	44010	440100424200001	146982-1	146982	1	4242	4G	LTE	-112	-7	12.2	-	-80	1	1	113	379	379	14	G																			I											M	13	1	
2017.05.05_13.01.21	138.97868	35.959855	14	NTT_DOCOMO	44010	440100424200001	146982-1	146982	1	4242	4G	LTE	-112	-7	12.2	-	-80	3	3	113	363	363	7	G																			D											M	13	1	
2017.05.05_13.01.25	138.97851	35.959868	10	NTT_DOCOMO	44010	440100424200001	146982-1	146982	1	4242	4G	LTE	-110	-7	15.0	-	-79	0	0	113	360	360	6	G																			I											M	13	1	
2017.05.05_13.01.29	138.97832	35.959899	14	NTT_DOCOMO	44010	440100424200001	146982-1	146982	1	4242	4G	LTE	-110	-7	15.0	-	-79	0	0	113	363	363	8	G																			I											M	13	1	
2017.05.05_13.01.32	138.97812	35.959949	18	NTT_DOCOMO	44010	440100424200001	146982-1	146982	1	4242	4G	LTE	-107	-5	14.8	-	-78	2	2	113	362	362	7	G																			I											M	13	1	
2017.05.05_13.01.35	138.97793	35.959967	18	NTT_DOCOMO	44010	440100424200001	146982-1	146982	1	4242	4G	LTE	-104	-7	19.8	-	-77	0	0	113	358	358	6	G																			I											M	13	1	
2017.05.05_13.01.39	138.97775	35.960006	14	NTT_DOCOMO	44010	440100424200001	146982-1	146982	1	4242	4G	LTE	-102	-6	21.8	-	-75	0	0	113	357	357	7	G																			D											M	13	1	
2017.05.05_13.01.42	138.97756	35.960084	18	NTT_DOCOMO	44010	440100424200001	146982-1	146982	1	4242	4G	LTE	-100	-6	23.8	-	-74	1	1	113	358	358	8	G																			I											M	13	1	
2017.05.05_13.01.45	138.97738	35.960172	18	NTT_DOCOMO	44010	440100424200001	146982-1	146982	1	4242	4G	LTE	-98	-6	23.0	-	-74	1	1	113	353	353	8	G																			I											M	13	1	
2017.05.05_13.01.48	138.97717	35.960232	21	NTT_DOCOMO	44010	440100424200001	146982-1	146982	1	4242	4G	LTE	-102	-8	20.2	-	-76	1	1	113	354	354	10	G																			I											M	13	1	
2017.05.05_13.01.51	138.97697	35.960244	21	NTT_DOCOMO	44010	440100424200001	146982-1	146982	1	4242	4G	LTE	-92	-7	25.8	-	-71	1	1	113	355	355	10	G																			I											M	13	1	
2017.05.05_13.01.53	138.97676	35.960290	25	NTT_DOCOMO	44010	440100424200001	146982-1	146982	1	4242	4G	LTE	-96	-7	21.8	-	-73	0	0	113	356	356	9	G																			I											M	13	1	
